Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Bahrain,1972,243159,8249,38106,105706,154449,131088,137453,120471,7711,29857,35276,32324,27263,38981,28698,20320,12196,6239,3024,702,30,0
Bahrain,1973,256644,8656,39099,108683,163229,141403,147961,129300,8071.9995,30443,35648,33936,30148,43545,30177,21137,12675,6416,3065,768,30,0
Bahrain,1974,270637,9063,40621,111453,171741,152443,159184,139089,8536,31558,35831,35001,32729,48737,31931,22057,13161,6603,3107,829,30,0
Bahrain,1975,285125,9435,42629,114144,179860,164067,170981,149747,8981,33194,35930,35585,34912,54435,34006,23092,13659,6810,3156,880,31,0
Bahrain,1976,300046,9751,44864,116900,187416,176062,183146,161136,9369,35113,36202,35834,36561,60473,36470,24245,14189,7027,3224,924,33,0
Bahrain,1977,315350,10002,46937,119838,194256,188266,195512,173137,9682,36935,37032,35869,37602,66619,39433,25534,14774,7254,3298,961,37,0
Bahrain,1978,330930,10197,48622,122978,200263,200547,207952,185560,9924,38425,38651,35705,38058,72589,43017,26970,15423,7489,3369,994,43,0
Bahrain,1979,346705,10347,49888,126315,205419,212841,220390,198172,10104,39541,41010,35417,38006,78119,47306,28577,16161,7741,3409,1021,50,0
Bahrain,1980,362600,10431,50766,129789,209759,225106,232811,210816,10239,40335,43810,35213,37608,82938,52334,30369,17002,8020,3431,1050,59,0
Bahrain,1981,377435,10561,51228,133236,214478,236264,244199,221933,10287,40667,46123,35885,37915,86613,56924,31891,17854,8369,3488,1075,70,0
Bahrain,1982,391031,10955,51743,136561,220316,246220,254470,231364,10411,40788,47283,37535,39261,89604,60514,32885,18643,8784,3605,1093,81,0
Bahrain,1983,404779,11518,52935,139967,226471,256229,264812,241017,10881,41417,47714,39318,40608,92794,64145,33734,19380,9217,3747,1101,86,0
Bahrain,1984,419228,12091,54923,143688,232573,266612,275540,251430,11520,42832,47959,40806,41520,96290,68266,34641,20075,9646,3902,1106,94,0
Bahrain,1985,434387,12662,57692,147794,238597,277305,286593,262397,12131,45030,48271,41831,41990,99997,72893,35641,20717,10075,4052,1126,102,0
Bahrain,1986,450202,13174,60938,152319,244500,288229,297883,273678,12722,47764,48903,42478,42045,103716,78030,36805,21314,10510,4191,1166,106,0
Bahrain,1987,466573,13579,64007,157318,250159,299236,309255,285114,13232,50428,50333,42978,41733,107070,83753,38217,21873,10963,4329,1209,108,0
Bahrain,1988,483343,13863,66532,162816,255425,310132,320527,296610,13616,52669,52736,43548,41117,109666,90105,39978,22387,11429,4480,1250,115,0
Bahrain,1989,500360,14024,68454,168786,260236,320829,331574,308017,13864,54430,56008,44324,40266,111281,97072,42205,22833,11880,4630,1287,120,0
Bahrain,1990,517429,14037,69642,175009,264492,331353,342420,319144,13982,55605,60036,45331,39334,111779,104558,44990,23240,12309,4766,1320,124,0
Bahrain,1991,535419,13922,69735,181407,271676,342497,354012,329304,13934,55813,63720,47952,40920,111324,110459,48221,23814,12829,4966,1353,126,0
Bahrain,1992,554480,13951,69367,187296,282100,355038,367184,339492,13806,55416,65851,52078,45185,111061,114375,51754,24571,13453,5260,1397,128,0
Bahrain,1993,573762,14164,69460,192057,292455,368850,381705,351290,13861,55296,66682,55915,49540,112032,117962,55613,25354,14041,5583,1452,128,0
Bahrain,1994,593259,14366,69924,195977,302479,383672,397282,364719,14075,55558,66949,59104,53472,114369,121280,59838,26216,14564,5903,1511,129,0
Bahrain,1995,612941,14549,70649,199271,311889,399309,413670,379567,14279,56100,67125,61497,56677,118036,124444,64377,27160,15052,6221,1569,134,0
Bahrain,1996,632763,14692,71514,201936,320399,415754,430827,395533,14462,56822,67485,62937,59153,122830,127604,69187,28194,15533,6547,1636,143,0
Bahrain,1997,652651,14775,72319,203895,327778,432992,448755,412331,14601,57544,68159,63417,61129,128351,130903,74262,29333,16009,6893,1724,151,1
Bahrain,1998,672484,14777,72875,205398,333797,450669,467085,429724,14672,58098,69113,63410,62556,134093,134529,79587,30610,16427,7285,1838,160,1
Bahrain,1999,692138,14676,73088,206816,338253,468326,485321,447602,14655,58412,70178,63550,63214,139551,138690,85190,32041,16773,7729,1964,169,1
Bahrain,2000,711446,14447,72830,208267,341003,485647,503178,465844,14527,58383,71205,64232,63031,144288,143548,91124,33613,17157,8150,2092,175,1
Bahrain,2001,730263,14063,71978,209579,342029,502617,520683,484157,14264,57915,72061,65540,62139,148011,149240,97382,35381,17641,8483,2221,185,1
Bahrain,2002,748332,13481,70389,210282,341391,519452,538049,502122,13838,56908,72646,67247,60973,150463,155803,103896,37479,18151,8745,2341,198,1
Bahrain,2003,778260,13865,69595,211838,347912,547198,566421,529018,13389,55730,72943,69300,63060,157049,164052,111354,40543,18715,8989,2450,209,1
Bahrain,2004,833454,15722,71785,216079,369322,597277,617374,576200,14058,56063,73120,71174,69930,174950,175195,120468,45353,19407,9287,2564,220,1
Bahrain,2005,901928,17140,75986,221617,395052,659165,680310,636217,15912,58846,73365,72266,76334,199960,189061,130505,51718,20168,9642,2689,233,1
Bahrain,2006,970986,17667,80465,227232,415108,721561,743753,698969,17174,62798,73848,72919,78980,225386,205201,140898,59189,20995,10033,2822,249,1
Bahrain,2007,1040545,18132,84846,233194,428882,784184,807349,763043,17647,66714,74826,73522,78710,249415,223900,151886,67721,22009,10463,2977,268,2
Bahrain,2008,1110352,18390,88204,239242,436423,847029,871107,827295,18063,69814,76867,74171,76918,269986,245544,163729,77170,23348,10941,3175,296,3
Bahrain,2009,1179460,17759,89295,244396,437940,910041,935061,891222,18250,71536,80097,75004,75004,284983,270606,176721,87318,25204,11484,3418,323,3
Bahrain,2010,1213655,17777,90051,248194,434323,939537,965458,921522,18254,72274,82634,75509,73890,285374,283819,184322,95027,26995,11986,3696,349,3
Bahrain,2011,1212086,18205,91096,249111,429578,936361,962972,919486,18279,72891,83112,74903,73518,278412,282666,184525,98748,28499,12319,3912,373,3
Bahrain,2012,1224948,18394,91209,246783,425254,950785,978162,935769,18096,72815,82307,73267,72562,280178,290516,185781,101576,30528,12582,4038,401,3
Bahrain,2013,1261683,19616,93725,251069,428896,980620,1010611,968527,18582,74109,83625,73719,71829,283410,304114,189755,108206,35081,13613,4181,422,3
Bahrain,2014,1311142,20940,99051,265380,447028,1011194,1045759,1001939,20110,78111,88470,77859,74128,285103,312106,194312,117810,41911,15433,4512,444,3
Bahrain,2015,1362157,21471,102896,277460,465634,1046916,1084693,1039149,21263,81425,92854,81710,77565,290113,324809,200308,123319,46713,16420,4975,471,4
Bahrain,2016,1409668,21265,104892,284641,476489,1085894,1125021,1079078,21538,83627,95622,84127,78854,296587,344527,208341,125303,49208,16427,5273,501,6
Bahrain,2017,1456844,20958,106283,291267,483706,1125302,1165571,1119250,21248,85325,98296,86688,78586,301505,365987,218012,127753,51347,16363,5479,539,6
Bahrain,2018,1487346,20821,106306,296416,485805,1149269,1190924,1143546,20782,85485,100852,89258,78592,294620,383056,227290,130836,53806,16450,5686,588,6
Bahrain,2019,1494195,20429,105258,299859,484237,1150282,1194330,1145633,20607,84829,102991,91610,79428,275073,390231,235009,133647,57300,17013,5983,646,6
Bahrain,2020,1477478,19192,102129,299912,471078,1130321,1177560,1128494,20106,82937,104314,93469,78293,242582,389484,242939,137487,61789,17971,6306,709,6
Bahrain,2021,1463266,17818,97608,298173,455277,1114041,1165086,1115536,18902,79790,105185,95380,78002,209209,386335,253746,143970,67317,19334,6438,735,7
Bangladesh,1950,39728540,1528812,6502211,16348522,23835538,21832216,23380018,20898916,1323254,4973399,5250720,4595591,4021213,6474207,4799907,3470645,2310745,1363703,815439,122292,1867,1
Bangladesh,1951,40548596,1595889,6598698,16665510,24332644,22373708,23883084,21346872,1360853,5002809,5376418,4690394,4115520,6632677,4919832,3558494,2376822,1364061,786939,127245,1493,1
Bangladesh,1952,41426890,1650607,6737463,17020182,24872880,22931116,24406706,21811344,1427321,5086856,5497905,4784814,4211558,6793274,5041083,3647333,2444482,1377560,758115,131878,1423,0
Bangladesh,1953,42329284,1703639,6939586,17402976,25436274,23478158,24926306,22270064,1480732,5235947,5580630,4882761,4305316,6946151,5157688,3735058,2512274,1401826,730916,135606,1471,0
Bangladesh,1954,43282036,1761916,7211727,17828136,26037616,24024266,25453898,22740332,1533283,5449811,5625654,4990755,4396989,7097352,5273294,3824390,2581091,1433848,707326,138044,1564,0
Bangladesh,1955,44315550,1822932,7503130,18306576,26693858,24587562,26008976,23243466,1591383,5680198,5693644,5109802,4489416,7254836,5393303,3917815,2652039,1472106,688466,139301,1693,0
Bangladesh,1956,45407670,1881194,7786135,18823932,27390200,25160876,26583740,23767542,1651674,5904941,5804610,5233187,4581593,7417651,5515439,4013702,2724194,1516074,673254,140042,1790,0
Bangladesh,1957,46560516,1941573,8076986,19380640,28128858,25745460,27179878,24307322,1709941,6135413,5952382,5351272,4673900,7587670,5639196,4112125,2797645,1565132,661603,140780,1827,0
Bangladesh,1958,47742790,2005294,8377324,19973496,28899080,26313940,27769296,24833070,1769771,6372030,6160042,5436129,4766929,7748794,5756818,4209201,2870965,1618326,655179,141164,1920,0
Bangladesh,1959,49004964,2074273,8688514,20609858,29727918,26911832,28395104,25386324,1833007,6614241,6433870,5487474,4872577,7914985,5880216,4308777,2945981,1674176,655705,140566,2121,0
Bangladesh,1960,50396428,2152030,9016438,21299282,30639504,27580796,29097146,26008302,1900593,6864408,6724555,5558289,4995950,8103776,6021272,4415501,3024825,1731350,663131,138968,2374,0
Bangladesh,1961,51882776,2232981,9365261,22044276,31616286,28283604,29838500,26670626,1976772,7132280,7007595,5671419,5125084,8302367,6171659,4526398,3106173,1790022,677121,137058,2618,0
Bangladesh,1962,53461664,2310673,9733142,22854464,32654776,29006828,30607198,27370166,2057559.1,7422469,7299475,5821847,5248898,8508491,6329650,4641621,3190475,1851151,698467,135593,2852,0
Bangladesh,1963,55094120,2373521,10095342,23728000,33726524,29713768,31366118,28094196,2132727,7721821,7600533,6032125,5339012,8720519,6492368,4759548,3277057,1913839,725824,134873,3078,0
Bangladesh,1964,56774476,2427675,10441080,24659340,34830604,30404576,32115138,28838944,2194437,8013405,7911451,6306808,5394736,8941275,6659575,4880187,3366396,1977557,757163,134973,3277,0
Bangladesh,1965,58500156,2481184,10758818,25590090,35963770,31136764,32910066,29601604,2246834,8277634,8235742,6595530,5469123,9174524,6832792,5004243,3457983,2041275,790865,135826,3436,0
Bangladesh,1966,60265264,2538637,11053469,26508920,37126040,31915004,33756344,30343878,2299234,8514832,8579086,6876364,5583739,9406264,7010249,5130507,3551420,2105857,827245,137466,3598,0
Bangladesh,1967,62104490,2611021,11351536,27456616,38344630,32732196,34647870,31072068,2357079,8740515,8938918,7166161,5734074,9628004,7195525,5260016,3647851,2172312,866245,140068,3778,0
Bangladesh,1968,63995656,2686983,11658956,28419568,39602650,33582628,35576090,31829546,2425813,8971973,9294395,7466217,5943176,9817035,7384831,5391808,3745633,2239288,906578,143811,3930,0
Bangladesh,1969,65866916,2762268,11977976,29383752,40868790,34411536,36483160,32577854,2496367,9215708,9631472,7774305,6207354,9952070,7556540,5519654,3841269,2306068,947363,148927,3917,0
Bangladesh,1970,67541864,2819584,12246516,30235124,42019484,35166176,37306740,33244250,2551044,9426932,9908343,8080264,6470865,10072883,7696469,5633344,3925839,2365273,983654,154676,3737,0
Bangladesh,1971,68376210,2821568,12312268,30784362,42775816,35460980,37591844,33390042,2550334,9490700,10096222,8375872,6680652,10076698,7720821,5668402,3944181,2365526,978334,153836,3396,0
Bangladesh,1972,69346710,2876845,12442093,31422438,43671788,35793840,37924270,33573810,2566271,9565248,10289258,8691087,6907464,10096753,7733874,5706601,3969570,2374183,977868,154865,3092,0
Bangladesh,1973,71144820,2970249,12777765,32324504,45024668,36608764,38820310,34292280,2671012,9807516,10525471,9021268,7194284,10279897,7836368,5817413,4060222,2443842,1020196,165084,3006,0
Bangladesh,1974,72947810,3018099,13105660,33187792,46417570,37466308,39760016,35046256,2754840,10087561,10752009,9330124,7491728,10498897,7938126,5926815,4150371,2513162,1061842,176059,3016,0
Bangladesh,1975,74700344,3072113,13447247,33933344,47674650,38384750,40767004,35912692,2802219,10375134,10976595,9509503,7727993,10826853,8071795,6024106,4233146,2586231,1104943,188586,3349,0
Bangladesh,1976,76380080,3136982,13802830,34578956,48737484,39321544,41801130,36877956,2859504,10665848,11220195,9555930,7864151,11259861,8241420,6108612,4304542,2664526,1151004,203047,3965,0
Bangladesh,1977,78137790,3207605,14127768,35285256,49816948,40270984,42852532,37868736,2922911,10920163,11508788,9648700,7981309,11710506,8416160,6204174,4374518,2744329,1198406,218539,4592,0
Bangladesh,1978,80007550,3266976,14428962,36074230,50950050,41248864,43933320,38893200,2992559,11161986,11829375,9815894,8095917,12190858,8577621,6314154,4446204,2823161,1245775,234383,5246,0
Bangladesh,1979,81908160,3329248,14742690,36913836,52076588,42210450,44994320,39920756,3052624,11413442,12160715,10010432,8183907,12696073,8728658,6424388,4515614,2898203,1291745,249794,5937,0
Bangladesh,1980,83929770,3395930,15068636,37839240,53275044,43208764,46090530,40972304,3116628,11672706,12508835,10261770,8280911,13173815,8924137,6543032,4589075,2969990,1337722,265139,6708,0
Bangladesh,1981,86154830,3460244,15400513,38857040,54623744,44318732,47297796,42069436,3185186,11940269,12860507,10596019,8445191,13603545,9182922,6681681,4673216,3038886,1384167,280607,7581,1
Bangladesh,1982,88555340,3527782,15735555,39917424,56105044,45563070,48637910,43209264,3251854,12207773,13183217,10998654,8706686,13991054,9487164,6844041,4769257,3104336,1430692,296113,8571,1
Bangladesh,1983,91045480,3554929,16040426,40955840,57649052,46920950,50089644,44397830,3321952,12485497,13488455,11426957,9052511,14347538,9825577,7023681,4875708,3166500,1477043,311438,9647,1
Bangladesh,1984,93534250,3560093,16291188,41929450,59175740,48343108,51604800,45645950,3354144,12731095,13811658,11826601,9438111,14686531,10190435,7213179,4988574,3227064,1523565,326564,10777,1
Bangladesh,1985,95959100,3575142,16493931,42816900,60622840,49787344,53142200,46957444,3364968,12918789,14147701,12175267,9825120,15014474,10575142,7411352,5104214,3287487,1570615,341821,11975,2
Bangladesh,1986,98271750,3569267,16632668,43588890,61948156,51237944,54682856,48307220,3385913,13063401,14490756,12465464,10185828,15356404,10971376,7613171,5222969,3347048,1616361,356520,13181,3
Bangladesh,1987,100490260,3554354,16698349,44236576,63170716,52723264,56253676,49677890,3387858,13143995,14839654,12698572,10522657,15742132,11378234,7812300,5348107,3405677,1659870,370359,14341,3
Bangladesh,1988,102688830,3529068,16715905,44819364,64367160,54260484,57869468,51084916,3380696,13186837,15164093,12939366,10846163,16178125,11811428,7991585,5480936,3463149,1699724,382972,15385,4
Bangladesh,1989,104893670,3513215,16716342,45392956,65569324,55824496,59500710,52533356,3363881,13203127,15438744,13237870,11149284,16650947,12264592,8157697,5616514,3518725,1733275,393452,16226,6
Bangladesh,1990,107147656,3499110,16691284,45958068,66788604,57447196,61189580,54075250,3356329,13192174,15671792,13594993,11453122,17157956,12693990,8363541,5756860,3577615,1765061,404351,17086,7
Bangladesh,1991,109242830,3437888,16591963,46359540,67809976,59072784,62883290,55646480,3343653,13154075,15831499,13936077,11727649,17687440,13080122,8619356,5896941,3640661,1796481,416597,18039,8
Bangladesh,1992,111272104,3380165,16454513,46654030,68721144,60732896,64618064,57220844,3291470,13074348,15917945,14281575,11986842,18288116,13433386,8889598,6029307,3711113,1830000,430587,19114,10
Bangladesh,1993,113418760,3358227,16342437,46961556,69694070,62491460,66457190,58849010,3248617,12984210,15975271,14643849,12284442,18960054,13759373,9173037,6160347,3789080,1865308,445323,20226,13
Bangladesh,1994,115614904,3378675,16266962,47238704,70653910,64330052,68376184,60534024,3234184,12888287,16015769,14955974,12626742,19640432,14068666,9489648,6301147,3869602,1899468,459213,21263,15
Bangladesh,1995,117793336,3394957,16222018,47449452,71553544,66209210,70343864,62270852,3260287,12827061,16026661,15200773,12991615,20327794,14372290,9819789,6443464,3955538,1936990,473949,22438,17
Bangladesh,1996,119876870,3390445,16223188,47566600,72339530,68086720,72310250,64022484,3281775,12832743,15987008,15356402,13350967,21008568,14697699,10147744,6575640,4044672,1974215,487175,23569,21
Bangladesh,1997,122039230,3447309,16328554,47679890,73102104,70033220,74359310,65856100,3283660,12881245,15911405,15439931,13712410,21674564,15084351,10492182,6706512,4144215,2017692,502364,25024,26
Bangladesh,1998,124350470,3509876,16514285,47834430,73878020,72044990,76516010,67831250,3345488,13004409,15839669,15480480,14042376,22336534,15534669,10873727,6827247,4264769,2081349,527596,27738,34
Bangladesh,1999,126754824,3532170,16700998,48009364,74648696,74085384,78745416,69936520,3413087,13168828,15800945,15507420,14308544,23012376,16031872,11283867,6944243,4402212,2166046,564161,32096,46
Bangladesh,2000,129193336,3556548,16896304,48200370,75408270,76134104,80992904,72114424,3442697,13339757,15790575,15513487,14520815,23698624,16564070,11675049,7098826,4539985,2255787,602723,37026,62
Bangladesh,2001,131670490,3576976,17112060,48483068,76202190,78139760,83187340,74245570,3474311,13535085,15825130,15545877,14698166,24310932,17105920,12055872,7324631,4671593,2341183,637358,41688,79
Bangladesh,2002,134139820,3586057,17278764,48829060,76989440,80071880,85310664,76283860,3500807,13692707,15953513,15596784,14837933,24819968,17663084,12432307,7607337,4804805,2427487,671348,46397,98
Bangladesh,2003,136503220,3581370,17381040,49150930,77689810,81921380,87352170,78256664,3515559,13799669,16149812,15620076,14951642,25272316,18227064,12771758,7917895,4941528,2514287,704633,51040,118
Bangladesh,2004,138789730,3557314,17436786,49424496,78304216,83745580,89365096,80196264,3516386,13879472,16341809,15645900,15076960,25701866,18773020,13081806,8254686,5083026,2600987,737244,55502,140
Bangladesh,2005,140912590,3497851,17404896,49613868,78780240,85497650,91298550,82056100,3497177,13907046,16540452,15668518,15191580,26099228,19284904,13370315,8609212,5228756,2686336,768718,59505,167
Bangladesh,2006,142628830,3419376,17265212,49723388,79020110,86933410,92905250,83634810,3440515,13845837,16755923,15702252,15240474,26361332,19697104,13641053,8962668,5373405,2769156,797427,62628,194
Bangladesh,2007,144135940,3357599,17053340,49792760,79116456,88216600,94342960,85094776,3366084,13695741,16922736,15816684,15242278,26557080,20044032,13939791,9319663,5508618,2846619,820498,64385,212
Bangladesh,2008,145421330,3288749,16776137,49798440,79091660,89351100,95622664,86430500,3307610,13487388,17023416,15998885,15216957,26678780,20327986,14260739,9692937,5620682,2919944,839469,65170,222
Bangladesh,2009,146706820,3201758,16442287,49703120,79039480,90580790,97003464,87811980,3243796,13240529,17079800,16181030,15218387,26823682,20622350,14611178,10087103,5724151,2992133,858614,65866,229
Bangladesh,2010,148391140,3113427,16095118,49535964,79082320,92256490,98854936,89588460,3164796,12981691,17060316,16380528,15279912,27144004,21029464,15025788,10480453,5874279,3069819,883596,67618,245
Bangladesh,2011,150211000,3031713,15746514,49300536,79108170,94116700,100910210,91552340,3081510,12714801,16949254,16604769,15376234,27498612,21484432,15483616,10848337,6081962,3153249,913459,70304,266
Bangladesh,2012,152090660,2981026,15405788,48966076,79098856,96129500,103124296,93649704,3003694,12424762,16774275,16786012,15553555,27828744,21959318,15998127,11197583,6327265,3240726,945451,73528,284
Bangladesh,2013,154030140,2973001,15119184,48568870,79078740,98276730,105460970,95837440,2956151,12146183,16542265,16907424,15792512,28162176,22441950,16547076,11524260,6604390,3332499,978843,77262,301
Bangladesh,2014,155961310,2970305,14908091,48143480,79012160,100454050,107817500,98028856,2950108,11937786,16251501,16983888,16013952,28525008,22932220,17089536,11827917,6908477,3427591,1011663,81142,319
Bangladesh,2015,157830000,2953299,14761756,47666620,78862340,102575950,110163040,100241960,2948613,11808457,15929241,16975624,16225324,28866264,23429620,17618824,12121717,7238059,3530929,1046748,85554,339
Bangladesh,2016,159784580,2951693,14694691,47168636,78736970,104744800,112615576,102592800,2933985,11742998,15599281,16874664,16462518,29217340,23951000,18139420,12438868,7587901,3641775,1086075,90674,364
Bangladesh,2017,161793970,2939690,14665458,46647830,78621704,106941690,115145730,105030840,2934314,11725768,15273612,16708763,16658791,29613564,24481110,18642360,12805752,7958235,3757886,1131367,96663,402
Bangladesh,2018,163683950,2935657,14634727,46111200,78434450,108985070,117572296,107403940,2922360,11699070,14995933,16480542,16777320,29981008,24970932,19117000,13211105,8360486,3867977,1182914,103555,456
Bangladesh,2019,165516220,2960722,14628789,45611012,78194990,110894720,119904690,109730920,2918695,11668067,14790539,16191685,16843468,30292236,25436448,19587512,13638508,8781432,3977599,1236538,110941,523
Bangladesh,2020,167420940,2964110,14646916,45173816,77978376,112816370,122246530,112124960,2946511,11682806,14651004,15875898,16844404,30640876,25927982,20082640,14075797,9160704,4114865,1282105,117159,598
Bangladesh,2021,169356240,2957644,14663335,44799784,77768370,114687890,124555730,114554480,2952124,11705691,14586077,15550370,16754565,31043512,26400320,20590466,14523667,9489528,4295550,1332664,125460,733
Barbados,1950,210556,6455,29798,76754,112219,122779,133802,121937,6002,23343,25392,21564,19218,30588,29579,23560,14124,9404,5564,1651,114,0
Barbados,1951,215438,6673,30327,78880,115562,125437,136558,124364,6095,23654,26308,22245,19821,31328,29732,24004,14899,9557,5407,1694,116,0
Barbados,1952,219481,6708,30696,80593,118196,127540,138888,126479,6291,23988,27078,22819,20213,32091,29623,24364,15830,9666,5229,1753,119,0
Barbados,1953,222736,6724,30965,82010,120171,129095,140726,128245,6327,24241,27695,23350,20360,32800,29313,24681,16808,9744,5081,1818,121,0
Barbados,1954,225315,6750,31321,83207,121594,130227,142108,129668,6359,24571,28045,23841,20323,33356,28910,24978,17679,9844,5036,1863,119,0
Barbados,1955,227330,6785,31662,84174,122553,131075,143156,130783,6410,24877,28278,24234,20217,33695,28483,25275,18392,9987,5097,1888,122,0
Barbados,1956,228628,6817,31882,84881,122967,131501,143747,131421,6474,25065,28512,24487,20016,33783,27987,25565,18935,10161,5271,1905,124,0
Barbados,1957,229474,6830,32131,85459,123065,131668,144015,131697,6539,25301,28661,24667,19784,33663,27449,25880,19311,10344,5554,1907,123,0
Barbados,1958,230355,6827,32387,86061,123220,131862,144294,131949,6581,25560,28822,24852,19697,33396,26972,26172,19580,10573,5871,1905,128,0
Barbados,1959,231418,6824,32618,86716,123543,132125,144702,132283,6604,25794,29165,24933,19768,33031,26639,26336,19832,10922,6149,1892,133,0
Barbados,1960,232560,6814,32791,87375,124007,132385,145185,132647,6622,25977,29554,25030,19913,32646,26461,26319,20084,11396,6361,1866,139,0
Barbados,1961,233702,6775,32981,88381,124813,132197,145321,132568,6657,26206,29992,25408,20168,31840,26320,26112,20338,12057,6510,1831,145,0
Barbados,1962,234839,6642,33094,89627,125972,131656,145212,132133,6664,26452,30598,25935,20587,30682,26195,25707,20588,12908,6596,1796,153,0
Barbados,1963,235884,6426,32916,90580,127200,131225,145304,131873,6548,26490,31201,26463,21102,29673,26112,25170,20837,13803,6659,1786,162,0
Barbados,1964,236840,6188,32443,91352,128457,130810,145488,131827,6349,26255,31767,27142,21555,28899,25962,24616,21110,14613,6745,1819,169,0
Barbados,1965,237698,5934,31660,91785,129632,130591,145913,132011,6123,25726,32265,27860,22062,28441,25682,24105,21404,15288,6875,1885,171,0
Barbados,1966,238497,5689,30636,91774,130697,130693,146723,132441,5880,24947,32637,28501,22712,28341,25278,23611,21742,15832,7042,1993,172,0
Barbados,1967,239253,5444,29488,91453,131615,130998,147799,133015,5643,24044,32786,29179,23357,28610,24761,23132,22139,16241,7237,2145,177,1
Barbados,1968,239921,5207,28307,90813,132343,131545,149107,133824,5404,23100,32646,29860,24020,29277,24082,22708,22523,16552,7481,2288,176,1
Barbados,1969,240598,5002,27150,89863,132904,132451,150734,135046,5173,22148,32201,30512,24854,30214,23288,22405,22765,16831,7806,2397,174,1
Barbados,1970,241402,4834,26067,88627,133331,133833,152774,136609,4971,21233,31453,31107,25753,31478,22522,22245,22832,17106,8201,2464,173,1
Barbados,1971,242357,4704,25114,87161,133633,135645,155195,138509,4809,20410,30479,31568,26571,33159,21849,22221,22692,17349,8687,2496,171,1
Barbados,1972,243468,4619,24330,85519,133792,137832,157948,140760,4684,19711,29398,31791,27409,35050,21323,22317,22349,17555,9274,2499,172,1
Barbados,1973,244650,4574,23722,83736,133783,140285,160913,143274,4602,19148,28281,31733,28234,37035,20984,22469,21900,17753,9869,2493,176,1
Barbados,1974,245861,4542,23280,81835,133703,142865,164024,146003,4561,18738,27181,31374,28994,39058,20898,22557,21437,17975,10401,2519,185,2
Barbados,1975,247096,4510,22962,79821,133418,145541,167273,148926,4529,18452,26152,30707,29664,41108,21126,22512,21024,18214,10846,2579,200,2
Barbados,1976,248363,4475,22740,77751,132823,148283,170610,152017,4499,18265,25217,29794,30197,43154,21696,22346,20645,18485,11208,2664,215,2
Barbados,1977,249669,4453,22580,75756,132066,150959,173911,155265,4466,18127,24427,28749,30497,45151,22612,22064,20295,18798,11488,2770,236,2
Barbados,1978,251019,4492,22508,73985,131186,153436,177032,158603,4447,18016,23820,27657,30496,47050,23888,21613,20016,19098,11722,2894,255,2
Barbados,1979,252340,4545,22524,72458,130119,155641,179880,161917,4488,17979,23371,26563,30163,48940,25348,21028,19843,19285,11954,3051,268,2
Barbados,1980,253582,4543,22482,71092,128572,157515,182488,165179,4502,17939,23097,25513,29399,50566,27091,20463,19814,19343,12279,3255,278,2
Barbados,1981,254695,4495,22330,69881,126587,159055,184812,168225,4460,17835,22934,24617,28325,51725,29130,20019,19887,19278,12668,3502,278,2
Barbados,1982,255654,4438,22156,68892,124489,160291,186760,170876,4420,17718,22754,23982,27196,52526,31148,19771,19974,19082,13016,3773,274,2
Barbados,1983,256516,4394,21958,68122,122357,161279,188392,173172,4374,17564,22537,23627,26104,52917,33103,19782,19993,18824,13332,4066,271,2
Barbados,1984,257291,4352,21771,67502,120222,162125,189787,175140,4340,17419,22271,23460,25107,52899,34971,20090,19885,18576,13633,4350,276,2
Barbados,1985,257917,4283,21588,66925,118105,162921,190990,176743,4305,17305,21980,23357,24283,52503,36713,20690,19668,18342,13917,4590,284,2
Barbados,1986,258377,4179,21350,66257,116035,163756,192117,178038,4237,17171,21713,23194,23720,51783,38292,21548,19406,18104,14173,4796,295,3
Barbados,1987,258668,4068.9998,21024,65435,114074,164660,193230,179125,4127,16955,21505,22906,23462,50812,39658,22598,19151,17858,14381,4997,313,3
Barbados,1988,258771,3966,20598,64474,112256,165591,194293,180083,4013,16632,21372,22504,23458,49669,40799,23794,18915,17633,14498,5194,333,4
Barbados,1989,258767,3935,20148,63489,110621,166472,195274,181030,3910,16213,21311,22030,23561,48467,41735,25084,18722,17446,14498,5404,357,4
Barbados,1990,258871,3972,19828,62553,108969,167486,196314,182287,3898,15856,21217,21508,23437,47422,42694,26417,18647,17322,14406,5585,384,4
Barbados,1991,259414,3997,19709,61740,107382,168863,197670,184069,3961,15712,20999,21032,22994,46694,43723,27794,18755,17276,14333,5692,409,4
Barbados,1992,260226,3986,19741,61131,106082,170295,199092,185957,3990,15755,20670,20720,22378,46180,44596,29220,18986,17243,14298,5752,439,3
Barbados,1993,261001,3936,19835,60666,104926,171504,200333,187640,3977,15899,20256,20575,21671,45665,45245,30668,19318,17232,14244,5817,473,2
Barbados,1994,261720,3863,19822,60268,103813,172507,201449,189128,3914,15959,19906,20540,20996,45047,45662,32130,19763,17275,14165,5904,507,3
